Outcome,Class,Sex,Age
survived,first,male,38
survived,first,female,35
survived,first,female,38
died,first,female,50
survived,first,male,49
died,first,male,46
died,first,male,50
died,first,male,32.5
died,first,male,58
died,first,male,41
survived,first,male,42
survived,first,female,45
survived,first,female,39
survived,first,female,49
survived,first,female,30
survived,first,male,35
died,first,male,42
survived,first,female,55
survived,first,female,16
survived,first,female,51
died,first,male,29
survived,first,female,21
died,first,male,30
survived,first,female,58
survived,first,female,15
died,first,male,30
survived,first,female,16
died,first,male,19
survived,first,female,18
survived,first,female,24
died,first,male,46
died,first,male,54
survived,first,male,36
died,first,male,28
died,first,male,65
died,first,male,44
survived,first,female,33
survived,first,female,37
survived,first,male,30
died,first,male,55
died,first,male,47
died,first,male,37
survived,first,female,31
survived,first,female,23
died,first,male,58
survived,first,female,19
died,first,male,64
survived,first,female,39
survived,first,female,22
died,first,male,65
died,first,male,28.5
died,first,male,45.5
died,first,male,23
died,first,male,29
survived,first,female,22
died,first,male,18
survived,first,female,17
survived,first,female,30
survived,first,male,52
died,first,male,47
survived,first,female,56
died,first,male,38
died,first,male,22
survived,first,female,43
died,first,male,31
survived,first,male,45
survived,first,female,33
died,first,male,46
died,first,male,36
survived,first,female,33
died,first,male,55
survived,first,female,54
died,first,male,33
survived,first,male,13
survived,first,female,18
survived,first,female,21
died,first,male,61
survived,first,female,48
survived,first,female,24
survived,first,female,35
survived,first,female,30
survived,first,male,34
survived,first,female,40
survived,first,male,35
died,first,male,50
survived,first,female,39
survived,first,male,56
survived,first,male,28
died,first,male,56
died,first,male,56
died,first,male,24
survived,first,female,18
survived,first,male,24
survived,first,female,23
survived,first,male,6
survived,first,male,45
survived,first,female,40
died,first,male,57
survived,first,male,32
died,first,male,62
survived,first,male,54
survived,first,female,43
survived,first,female,52
survived,first,female,62
died,first,male,67
died,first,female,63
died,first,male,61
survived,first,female,48
survived,first,female,18
died,first,male,52
survived,first,female,39
survived,first,male,48
died,first,male,49
survived,first,male,17
survived,first,female,39
survived,first,male,31
died,first,male,40
died,first,male,61
died,first,male,47
survived,first,female,35
died,first,male,64
survived,first,female,60
died,first,male,60
died,first,male,54
died,first,male,21
survived,first,female,55
survived,first,female,31
died,first,male,57
survived,first,female,45
died,first,male,50
died,first,male,27
survived,first,female,50
survived,first,female,21
died,first,male,51
survived,first,male,21
survived,first,female,31
died,first,male,62
survived,first,female,36
died,second,male,30
survived,second,female,28
died,second,male,30
died,second,male,18
died,second,male,25
died,second,male,34
survived,second,female,36
died,second,male,57
died,second,male,18
died,second,male,23
survived,second,female,36
died,second,male,28
died,second,male,51
survived,second,male,32
survived,second,female,19
died,second,male,28
survived,second,male,1
survived,second,female,4
survived,second,female,12
survived,second,female,36
survived,second,male,34
survived,second,female,19
died,second,male,23
died,second,male,26
died,second,male,42
died,second,male,27
survived,second,female,24
survived,second,female,15
died,second,male,60
survived,second,female,40
survived,second,female,20
died,second,male,25
survived,second,female,36
died,second,male,25
died,second,male,42
survived,second,female,42
survived,second,male,0.83
survived,second,male,26
survived,second,female,22
survived,second,female,35
died,second,male,19
died,second,female,44
died,second,male,54
died,second,male,52
died,second,male,37
died,second,female,29
survived,second,female,25
survived,second,female,45
died,second,male,29
survived,second,female,28
died,second,male,29
died,second,male,28
survived,second,male,24
survived,second,female,8
died,second,male,31
survived,second,female,31
survived,second,female,22
died,second,female,30
died,second,male,21
survived,second,male,8
died,second,male,18
survived,second,female,48
survived,second,female,28
died,second,male,32
died,second,male,17
died,second,male,29
survived,second,female,24
died,second,male,25
died,second,male,18
survived,second,female,18
survived,second,female,34
died,second,male,54
survived,second,male,8
died,second,male,42
survived,second,female,34
survived,second,female,27
survived,second,female,30
died,second,male,23
died,second,male,21
died,second,male,18
died,second,male,40
survived,second,female,29
died,second,male,18
died,second,male,36
died,second,female,38
died,second,male,35
died,second,male,38
died,second,male,34
survived,second,female,34
died,second,male,16
died,second,male,26
died,second,male,47
died,second,male,21
died,second,male,21
died,second,male,24
died,second,male,24
died,second,male,34
died,second,male,30
died,second,male,52
died,second,male,30
survived,second,male,0.67
survived,second,female,24
died,second,male,44
survived,second,female,6
died,second,male,28
survived,second,male,62
died,second,male,30
survived,second,female,7
died,second,male,43
survived,second,female,45
survived,second,female,24
survived,second,female,24
died,second,male,49
survived,second,female,48
survived,second,female,55
died,second,male,24
died,second,male,32
died,second,male,21
died,second,female,18
survived,second,female,20
died,second,male,23
died,second,male,36
survived,second,female,54
died,second,male,50
died,second,male,44
survived,second,female,29
died,second,male,21
survived,second,male,42
died,second,male,63
died,second,female,60
died,second,male,33
survived,second,female,17
died,second,male,42
survived,second,female,24
died,second,male,47
died,second,male,24
died,second,male,22
died,second,male,32
survived,second,female,23
died,second,male,34
survived,second,female,24
died,second,female,22
died,second,male,35
survived,second,female,45
died,second,male,57
died,second,male,31
died,second,female,26
died,second,male,30
survived,second,female,1
survived,second,female,3
died,second,male,25
survived,second,female,22
survived,second,female,17
survived,second,female,34
died,second,male,36
died,second,male,24
died,second,male,61
died,second,male,50
survived,second,female,42
died,second,female,57
survived,second,male,1
died,second,male,31
survived,second,female,24
died,second,male,30
died,second,male,40
died,second,male,32
died,second,male,30
died,second,male,46
survived,second,female,13
survived,second,female,41
survived,second,male,19
died,second,male,39
died,second,male,48
died,second,male,70
died,second,male,27
died,second,male,54
died,second,male,39
died,second,male,16
died,second,male,62
died,second,male,32.5
survived,second,female,14
survived,second,male,2
survived,second,male,3
died,second,male,36.5
died,second,male,26
died,second,male,19
died,second,male,28
survived,second,male,20
survived,second,female,29
died,second,male,39
survived,second,male,22
died,second,male,23
survived,second,male,29
died,second,male,28
survived,second,female,50
died,second,male,19
died,second,male,41
survived,second,female,21
survived,second,female,19
died,second,male,43
survived,second,female,32
died,second,male,34
survived,second,male,30
died,second,male,27
survived,second,female,2
survived,second,female,8
survived,second,female,33
died,second,male,36
died,second,male,34
survived,second,female,30
survived,second,female,28
died,second,male,23
survived,second,male,0.83
survived,second,male,3
survived,second,female,24
survived,second,female,50
died,second,male,19
survived,second,female,21
died,second,male,26
died,second,male,25
died,second,male,27
survived,second,female,25
survived,second,female,18
survived,second,female,20
survived,second,female,30
died,second,male,59
survived,second,female,30
died,second,male,35
survived,second,female,40
died,second,male,25
died,second,male,41
died,second,male,25
died,second,male,18.5
died,second,male,14
survived,second,female,50
died,second,male,23
survived,second,female,28
survived,second,female,27
died,second,male,29
died,second,female,27
died,second,male,40
survived,second,female,31
died,second,male,30
died,second,male,23
survived,second,female,31
survived,second,female,12
survived,second,female,40
survived,second,female,32.5
died,second,male,27
survived,second,female,29
survived,second,male,2
survived,second,female,4
survived,second,female,29
survived,second,female,0.92
survived,second,female,5
died,second,male,36
survived,second,female,33
died,second,male,66
survived,second,male,31
survived,second,female,26
died,second,female,24
died,third,male,42
died,third,male,13
died,third,male,16
survived,third,female,35
survived,third,female,16
survived,third,male,25
survived,third,male,20
survived,third,female,18
died,third,male,30
died,third,male,26
died,third,female,40
survived,third,male,0.83
survived,third,female,18
survived,third,male,26
died,third,male,26
died,third,male,20
died,third,male,24
died,third,male,25
died,third,male,35
died,third,male,18
died,third,male,32
survived,third,female,19
died,third,male,4
died,third,female,6
died,third,female,2
survived,third,female,17
died,third,female,38
died,third,female,9
died,third,female,11
died,third,male,39
survived,third,male,27
died,third,male,26
died,third,female,39
died,third,male,20
died,third,male,26
died,third,male,25
died,third,female,18
died,third,male,24
died,third,male,35
died,third,male,5
died,third,male,9
survived,third,male,3
died,third,male,13
survived,third,female,5
died,third,male,40
survived,third,male,23
survived,third,female,38
survived,third,female,45
died,third,male,21
died,third,male,23
died,third,female,17
died,third,male,30
died,third,male,23
survived,third,female,13
died,third,male,20
died,third,male,32
survived,third,female,33
survived,third,female,0.75
survived,third,female,0.75
survived,third,female,5
survived,third,female,24
survived,third,female,18
died,third,male,40
died,third,male,26
survived,third,male,20
died,third,female,18
died,third,female,45
died,third,female,27
died,third,male,22
died,third,male,19
died,third,male,26
died,third,male,22
died,third,male,20
survived,third,male,32
died,third,male,21
died,third,male,18
died,third,male,26
died,third,male,6
died,third,female,9
died,third,male,40
died,third,female,32
died,third,male,21
survived,third,female,22
died,third,female,20
died,third,male,29
died,third,male,22
died,third,male,22
died,third,male,35
died,third,female,18.5
survived,third,male,21
died,third,male,19
died,third,female,18
died,third,female,21
died,third,female,30
died,third,male,18
died,third,male,38
died,third,male,17
died,third,male,17
died,third,female,21
died,third,male,21
died,third,male,21
died,third,male,28
died,third,male,24
survived,third,female,16
died,third,female,37
died,third,male,28
died,third,male,24
died,third,male,21
survived,third,male,32
died,third,male,29
died,third,male,26
died,third,male,18
died,third,male,20
survived,third,male,18
died,third,male,24
died,third,male,36
died,third,male,24
died,third,male,31
died,third,male,31
survived,third,female,22
died,third,female,30
died,third,male,70.5
died,third,male,43
died,third,male,35
died,third,male,27
died,third,male,19
died,third,male,30
survived,third,male,9
survived,third,male,3
survived,third,female,36
died,third,male,59
died,third,male,19
survived,third,female,17
died,third,male,44
died,third,male,17
died,third,male,22.5
survived,third,male,45
died,third,female,22
died,third,male,19
survived,third,female,30
survived,third,male,29
died,third,male,0.33
died,third,male,34
died,third,female,28
died,third,male,27
died,third,male,25
died,third,male,24
died,third,male,22
died,third,male,21
died,third,male,17
survived,third,male,36.5
survived,third,female,36
survived,third,male,30
died,third,male,16
survived,third,male,1
survived,third,female,0.17
died,third,male,26
survived,third,female,33
died,third,male,25
died,third,male,22
died,third,male,36
survived,third,female,19
died,third,male,17
died,third,male,42
died,third,male,43
died,third,male,32
survived,third,male,19
survived,third,female,30
died,third,female,24
survived,third,female,23
died,third,male,33
died,third,male,65
survived,third,male,24
died,third,male,23
survived,third,female,22
died,third,male,18
died,third,male,16
died,third,male,45
died,third,male,39
died,third,male,17
died,third,male,15
died,third,male,47
survived,third,female,5
died,third,male,40.5
died,third,male,40.5
died,third,male,18
died,third,male,26
died,third,female,21
died,third,female,9
died,third,male,18
died,third,male,16
died,third,female,48
died,third,male,25
died,third,male,22
survived,third,female,16
survived,third,male,9
died,third,male,33
died,third,male,41
survived,third,female,31
died,third,male,38
died,third,male,9
died,third,male,1
died,third,male,11
died,third,female,10
died,third,female,16
died,third,male,14
died,third,male,40
died,third,female,43
died,third,male,51
died,third,male,32
died,third,male,20
died,third,male,37
died,third,male,28
died,third,male,19
died,third,female,24
died,third,female,17
died,third,male,28
survived,third,female,24
died,third,male,20
died,third,male,23.5
died,third,male,41
died,third,male,26
died,third,male,21
survived,third,female,45
died,third,male,25
died,third,male,11
survived,third,male,27
died,third,female,18
survived,third,female,26
died,third,female,23
survived,third,female,22
died,third,male,28
died,third,female,28
survived,third,female,2
survived,third,female,22
died,third,male,43
died,third,male,28
survived,third,female,27
died,third,male,42
died,third,male,30
died,third,female,27
died,third,female,25
survived,third,male,29
survived,third,male,21
died,third,male,20
died,third,male,48
died,third,male,17
died,third,male,34
survived,third,male,26
died,third,male,22
died,third,male,33
died,third,male,31
died,third,male,29
survived,third,male,4
survived,third,female,1
died,third,male,49
died,third,male,33
died,third,male,19
survived,third,female,27
died,third,male,23
survived,third,male,32
died,third,male,27
died,third,female,20
died,third,female,21
survived,third,male,32
died,third,male,17
died,third,male,21
died,third,male,30
survived,third,male,21
died,third,male,33
died,third,male,22
survived,third,female,4
survived,third,male,39
died,third,male,18.5
died,third,male,34.5
died,third,male,44
died,third,female,22
died,third,male,26
survived,third,female,4
survived,third,male,29
survived,third,female,26
died,third,female,1
died,third,male,18
died,third,female,36
survived,third,male,25
died,third,female,37
survived,third,female,22
survived,third,male,26
died,third,male,29
died,third,male,29
died,third,male,22
survived,third,male,22
died,third,male,32
died,third,male,34.5
died,third,male,36
died,third,male,39
died,third,male,24
died,third,female,25
died,third,female,45
died,third,male,36
died,third,female,30
survived,third,male,20
died,third,male,28
died,third,male,30
died,third,female,26
died,third,male,20.5
survived,third,male,27
died,third,male,51
survived,third,female,23
survived,third,male,32
survived,third,male,24
died,third,male,22
died,third,male,29
died,third,female,30.5
died,third,male,35
died,third,male,33
survived,third,female,15
died,third,female,35
died,third,male,24
died,third,female,19
died,third,male,55.5
survived,third,male,21
died,third,male,24
died,third,male,21
died,third,male,28
died,third,male,25
survived,third,male,6
survived,third,female,27
died,third,male,34
survived,third,female,24
died,third,male,18
died,third,male,22
survived,third,female,15
survived,third,female,1
survived,third,male,20
survived,third,female,19
died,third,male,33
survived,third,male,12
survived,third,female,14
died,third,female,29
died,third,male,28
survived,third,female,18
survived,third,female,26
died,third,male,21
died,third,male,41
survived,third,male,39
died,third,male,21
died,third,male,28.5
survived,third,female,22
died,third,male,61
died,third,male,23
survived,third,female,22
survived,third,male,9
died,third,male,28
died,third,male,42
died,third,female,31
died,third,male,28
survived,third,male,32
died,third,male,20
died,third,female,23
died,third,female,20
died,third,male,20
died,third,male,16
survived,third,female,31
died,third,male,2
died,third,male,6
died,third,female,3
died,third,female,8
died,third,female,29
died,third,male,1
died,third,male,7
died,third,male,2
died,third,male,16
died,third,male,14
died,third,female,41
died,third,male,21
died,third,male,19
died,third,male,32
died,third,male,0.75
died,third,female,3
died,third,female,26
died,third,male,21
died,third,male,25
died,third,male,22
survived,third,male,25
died,third,male,24
died,third,female,28
died,third,male,19
died,third,male,25
died,third,female,18
survived,third,male,32
died,third,male,17
died,third,male,24
died,third,male,38
died,third,male,21
died,third,male,10
died,third,male,4
died,third,male,7
died,third,male,2
died,third,male,8
died,third,female,39
died,third,female,22
died,third,male,35
died,third,male,50
died,third,female,47
died,third,female,2
died,third,male,18
died,third,female,41
died,third,male,50
died,third,male,16
died,third,male,25
died,third,male,38.5
died,third,male,14.5
died,third,male,24
survived,third,female,21
died,third,male,39
survived,third,female,1
survived,third,female,24
survived,third,female,4
survived,third,male,25
died,third,male,20
died,third,male,24.5
survived,third,male,29
died,third,male,22
died,third,male,40
died,third,male,21
survived,third,female,18
died,third,male,4
died,third,male,10
died,third,female,9
died,third,female,2
died,third,male,40
died,third,female,45
died,third,male,19
died,third,male,30
died,third,male,32
died,third,male,33
survived,third,female,23
died,third,male,21
died,third,male,60.5
died,third,male,19
died,third,female,22
survived,third,male,31
died,third,male,27
died,third,female,2
died,third,female,29
survived,third,male,16
survived,third,male,44
died,third,male,25
died,third,male,74
survived,third,male,14
died,third,male,24
survived,third,male,25
died,third,male,34
survived,third,male,0.42
